Year,Total FCEs,Chapter 5 FCEs ,Chapter 5 FCEs %
1999-00,"12,167,574","230,778",1.90%
2000-01,"12,264,677","220,743",1.80%
2001-02,"12,357,360","221,054",1.79%
2002-03,"12,757,656","225,173",1.77%
2003-04,"13,174,480","216,996",1.65%
2004-05,"13,706,765","224,585",1.64%
2005-06,"14,423,506","218,924",1.52%
2006-07,"14,784,581","211,408",1.43%
2007-08,"15,359,062","205,869",1.34%
2008-09,"16,232,579","204,800",1.26%
2009-10,"16,806,196","223,573",1.33%
2010-11,"17,269,882","237,942",1.38%
2011-12,"17,465,425","241,853",1.38%
2012-13,"17,715,046","247,108",1.39%
2013-14,"18,163,101","252,584",1.39%
2014-15,"18,731,987","255,973",1.37%
2015-16,"19,239,608","256,439",1.33%
2016-17,"19,726,907","253,117",1.28%
2017-18,"20,030,870","259,865",1.30%
2018-19,"20,760,699","275,286",1.33%
2019-20,"20,912,276","273,127",1.31%
2020-21,"16,168,689","259,678",1.61%
2021-22,"19,626,344","267,169",1.36%
2022-23,"20,028,271","245,526",1.23%
2023-24,"21,450,875","256,179",1.19%
