Year,Code,Description,Chapter,Chapter_Desc,FCE,Male,Female,Pct_Male,Pct_Female,Emergency,Pct_Emergency,Waiting_List,Mean_Wait,Median_Wait,Mean_LOS,Median_LOS,Mean_Age,Day_Case,Pct_Day_Case,Source
1998-99,F00,Dementia in Alzheimer's disease,F00-F09,"Organic, including symptomatic, mental disorders",3734,1344,2390,35.99,64.01,1599,42.82,462,55,2,91.6,31,79,1,0.03,CSV 3-char primary diagnosis
1998-99,F01,Vascular dementia,F00-F09,"Organic, including symptomatic, mental disorders",9201,4554,4647,49.49,50.51,4529,49.22,820,23,3,61.5,27,79,29,0.32,CSV 3-char primary diagnosis
1998-99,F02,Dementia in other diseases classified elsewhere,F00-F09,"Organic, including symptomatic, mental disorders",317,185,132,58.36,41.64,142,44.79,46,6,3,95.2,25,70,0,0,CSV 3-char primary diagnosis
1998-99,F03,Unspecified dementia,F00-F09,"Organic, including symptomatic, mental disorders",18564,6824,11740,36.76,63.24,8712,46.93,1716,19,3,71,18,80,72,0.39,CSV 3-char primary diagnosis
1998-99,F04,Organic amnesic synd not induced alc/oth psychoactive s,F00-F09,"Organic, including symptomatic, mental disorders",48,21,27,43.75,56.25,26,54.17,9,1,1,28.3,8,70,0,0,CSV 3-char primary diagnosis
1998-99,F05,Delirium not induced by alcohol and other psychoactive,F00-F09,"Organic, including symptomatic, mental disorders",3001,1182,1819,39.39,60.61,2041,68.01,75,6,1,22.8,12,76,1,0.03,CSV 3-char primary diagnosis
1998-99,F06,Oth mental disord brain damag and dysfunction/physical,F00-F09,"Organic, including symptomatic, mental disorders",1231,624,607,50.69,49.31,656,53.29,143,26,6,98.7,24,65,38,3.09,CSV 3-char primary diagnosis
1998-99,F07,Personality and behav disord brain dis dam and dysfunct,F00-F09,"Organic, including symptomatic, mental disorders",576,379,197,65.8,34.2,368,63.89,45,37,16,65.5,10,45,5,0.87,CSV 3-char primary diagnosis
1998-99,F09,Unspecified organic or symptomatic mental disorder,F00-F09,"Organic, including symptomatic, mental disorders",193,98,95,50.78,49.22,120,62.18,13,5,5,33.1,19,53,0,0,CSV 3-char primary diagnosis
1998-99,F10,Mental and behavioural disorders due to use of alcohol,F10-F19,Mental and behavioural disorders due to psychoactive substance use,32226,22162,10064,68.77,31.23,23545,73.06,3288,20,7,11.3,5,41,57,0.18,CSV 3-char primary diagnosis
1998-99,F11,Mental and behavioural disorders due to use of opioids,F10-F19,Mental and behavioural disorders due to psychoactive substance use,4360,2994,1366,68.67,31.33,1751,40.16,1541,48,29,11.5,7,29,109,2.5,CSV 3-char primary diagnosis
1998-99,F12,Mental and behavioural disorders due to use of cannabin,F10-F19,Mental and behavioural disorders due to psychoactive substance use,669,533,136,79.67,20.33,528,78.92,22,1,1,28.6,11,26,0,0,CSV 3-char primary diagnosis
1998-99,F13,Mental & behavioural disorders due use sedatives/hypnot,F10-F19,Mental and behavioural disorders due to psychoactive substance use,284,149,135,52.46,47.54,206,72.54,27,14,10,17.5,9,42,1,0.35,CSV 3-char primary diagnosis
1998-99,F14,Mental and behavioural disorders due to use of cocaine,F10-F19,Mental and behavioural disorders due to psychoactive substance use,183,134,49,73.22,26.78,121,66.12,26,37,15,11.5,5,30,1,0.55,CSV 3-char primary diagnosis
1998-99,F15,Men & behav dis due use oth stims inc caffeine,F10-F19,Mental and behavioural disorders due to psychoactive substance use,826,625,201,75.67,24.33,629,76.15,49,12,7,14.9,6,29,0,0,CSV 3-char primary diagnosis
1998-99,F16,Mental and behavioural disorders due to use of hallucin,F10-F19,Mental and behavioural disorders due to psychoactive substance use,249,181,68,72.69,27.31,200,80.32,4,5,4,16.5,2,28,1,0.4,CSV 3-char primary diagnosis
1998-99,F17,Mental and behavioural disorders due to use of tobacco,F10-F19,Mental and behavioural disorders due to psychoactive substance use,16,14,2,87.5,12.5,9,56.25,4,35,35,35.1,5,46,1,6.25,CSV 3-char primary diagnosis
1998-99,F18,Mental & behavioural disorders due use volatile solvent,F10-F19,Mental and behavioural disorders due to psychoactive substance use,101,79,22,78.22,21.78,78,77.23,5,17,17,14,1,23,0,0,CSV 3-char primary diagnosis
